Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,3.240213,3.434665,3.225579,3.378611,3.378611,508752000
2019-01-03,3.318342,3.352321,3.167046,3.174486,3.174486,705552000
2019-01-04,3.247654,3.416064,3.216899,3.377868,3.377868,585620000
2019-01-07,3.435162,3.593651,3.38382,3.556695,3.556695,709160000
2019-01-08,3.638295,3.640527,3.395477,3.468149,3.468149,786016000
2019-01-09,3.51949,3.583729,3.468893,3.536356,3.536356,617260000
2019-01-10,3.517011,3.610764,3.456492,3.602083,3.602083,523156000
2019-01-11,3.579761,3.714192,3.551983,3.691373,3.691373,874764000
2019-01-14,3.639039,3.756603,3.615476,3.731305,3.731305,730168000
2019-01-15,3.764045,3.803481,3.698814,3.717168,3.717168,617012000
2019-01-16,3.744451,3.777438,3.686165,3.691621,3.691621,470104000
2019-01-17,3.658634,3.802985,3.631351,3.763053,3.763053,493436000
2019-01-18,3.812905,3.918316,3.761316,3.892273,3.892273,651336000
2019-01-22,3.862015,3.873672,3.659625,3.689884,3.689884,661552000
2019-01-23,3.745195,3.833988,3.671531,3.702782,3.702782,591020000
2019-01-24,3.787358,3.932453,3.782646,3.914844,3.914844,708972000
2019-01-25,3.855318,3.990244,3.752635,3.972138,3.972138,1154572000
2019-01-28,3.386796,3.513042,3.249142,3.423008,3.423008,2511528000
2019-01-29,3.376876,3.425241,3.24939,3.264024,3.264024,1153932000
2019-01-30,3.340168,3.422016,3.260551,3.407631,3.407631,974228000
2019-01-31,3.404407,3.601092,3.38258,3.565376,3.565376,842852000
2019-02-01,3.583977,3.640775,3.536356,3.589682,3.589682,625048000
2019-02-04,3.605555,3.737257,3.583481,3.700053,3.700053,528592000
2019-02-05,3.711959,3.755859,3.678227,3.719151,3.719151,542424000
2019-02-06,3.752387,3.859286,3.746931,3.7948,3.7948,702464000
2019-02-07,3.748418,3.750651,3.613492,3.656401,3.656401,637120000
2019-02-08,3.589186,3.685668,3.574801,3.675003,3.675003,461604000
2019-02-11,3.630854,3.685172,3.583977,3.632342,3.632342,495180000
2019-02-12,3.670787,3.765037,3.656401,3.749411,3.749411,591060000
2019-02-13,3.778925,3.86499,3.765284,3.791823,3.791823,605372000
2019-02-14,3.790832,3.861023,3.747675,3.832748,3.832748,827264000
2019-02-15,4.041586,4.064404,3.879625,3.902443,3.902443,1516748000
2019-02-19,3.891778,3.96569,3.87268,3.885081,3.885081,551892000
2019-02-20,3.914348,3.999669,3.903187,3.932454,3.932454,540988000
2019-02-21,3.945103,3.969657,3.848869,3.863502,3.863502,448548000
2019-02-22,3.915341,3.967178,3.901699,3.948328,3.948328,401740000
2019-02-25,4.031913,4.099376,3.927246,3.935927,3.935927,656020000
2019-02-26,3.931214,3.987268,3.863007,3.89649,3.89649,488464000
2019-02-27,3.882105,3.908644,3.797528,3.854574,3.854574,500256000
2019-02-28,3.848366,3.870712,3.807648,3.829993,3.829993,324944000
2019-03-01,3.879899,3.926576,3.821553,3.884368,3.884368,357188000
2019-03-04,3.922851,3.945693,3.835953,3.892561,3.892561,409992000
2019-03-05,3.876919,3.924341,3.822546,3.886106,3.886106,362924000
2019-03-06,3.877167,3.885608,3.772392,3.775123,3.775123,403524000
2019-03-07,3.751537,3.76122,3.659673,3.705853,3.705853,450104000
2019-03-08,3.616472,3.750792,3.595119,3.740116,3.740116,422416000
2019-03-11,3.763703,4.023653,3.716529,4.000812,4.000812,859728000
2019-03-12,4.028619,4.081503,3.952397,4.035075,4.035075,579576000
2019-03-13,4.072566,4.215824,4.065117,4.186527,4.186527,768900000
2019-03-14,4.195713,4.20763,4.102855,4.110552,4.110552,519384000
2019-03-15,4.153753,4.258776,4.150277,4.216072,4.216072,661484000
2019-03-18,4.247604,4.301481,4.167657,4.19472,4.19472,486992000
2019-03-19,4.289315,4.407001,4.272432,4.362558,4.362558,854972000
2019-03-20,4.391607,4.444988,4.295274,4.330033,4.330033,719148000
